日期,投放类型,是否正确分类,频次
2024-10-15,厨余垃圾,1,1
2024-04-30,有害垃圾,0,1
2024-11-17,厨余垃圾,1,1
2024-02-03,其他垃圾,0,1
2024-11-30,厨余垃圾,0,1
2024-03-20,可回收物,1,1
2024-04-01,厨余垃圾,1,1
2024-06-07,厨余垃圾,1,1
2024-07-02,厨余垃圾,1,1
2024-03-17,有害垃圾,1,1
2024-09-25,厨余垃圾,1,1
2024-04-10,厨余垃圾,0,1
2024-10-14,厨余垃圾,1,1
2024-03-08,有害垃圾,1,1
2024-10-15,可回收物,1,1
2024-05-10,厨余垃圾,1,1
2024-06-19,有害垃圾,1,1
2024-08-05,有害垃圾,0,1
2024-07-16,有害垃圾,1,1
2024-12-05,其他垃圾,1,1
2024-10-13,有害垃圾,1,1
2024-02-10,厨余垃圾,1,1
2024-08-10,有害垃圾,1,1
2024-11-13,有害垃圾,1,1
2024-05-22,其他垃圾,1,1
2024-05-30,厨余垃圾,1,1
2024-10-28,可回收物,1,1
2024-08-29,可回收物,1,1
2024-10-15,可回收物,1,1
2024-05-12,厨余垃圾,0,1
2024-09-11,可回收物,1,1
2024-08-26,有害垃圾,0,1
2024-04-08,有害垃圾,0,1
2024-12-24,有害垃圾,1,1
2024-03-26,有害垃圾,1,1
2024-05-06,有害垃圾,1,1
2024-01-25,有害垃圾,1,1
2024-09-17,其他垃圾,1,1
2024-10-25,厨余垃圾,1,1
2024-07-28,可回收物,0,1
2024-01-02,厨余垃圾,1,1
2024-09-29,有害垃圾,1,1
2024-10-24,其他垃圾,1,1
2024-04-06,有害垃圾,1,1
2024-05-15,可回收物,1,1
2024-06-22,厨余垃圾,1,1
2024-03-20,厨余垃圾,1,1
2024-07-08,其他垃圾,1,1
2024-09-06,有害垃圾,0,1
2024-02-02,其他垃圾,1,1
2024-01-05,有害垃圾,1,1
2024-11-14,有害垃圾,1,1
2024-08-24,厨余垃圾,1,1
2024-12-10,厨余垃圾,1,1
2024-06-16,其他垃圾,1,1
2024-07-03,可回收物,1,1
2024-03-29,厨余垃圾,1,1
